StudentID,InMotif_1,InMotif_2,InMotif_3,SelfEff_1,SelfEff_2,SelfEff_3,Teacher_1,Teacher_2,Teacher_3,ExMotif_1,ExMotif_2,ExMotif_3,Gender,NumBook,NumDevice,EdMother,EdFather,Region
38,0.99,-0.0403,0.0798,-2.9504,-0.0828,0.1029,-0.449,0.7062,-1.5132,0.2849,1.293,-0.04,1,2,3,3,3,TWN
39,4.4548,-0.9716,0.2499,2.7767,0.6023,0.2925,-4.5835,0.632,-0.5587,5.6468,0.2947,-0.4723,1,3,4,8,8,TWN
40,1.1574,-0.5459,0.1514,0.8528,-0.762,0.5362,-1.3649,0.3335,0.4765,2.3461,0.5541,0.1987,2,1,4,2,2,TWN
41,-0.7044,0.2545,-0.1019,0.206,-0.0989,0.0472,0.2205,0.4987,-0.8996,0.9902,0.2216,0.8217,2,3,3,8,8,TWN
42,1.5138,-0.4642,0.125,0.8641,-0.4415,0.5655,-1.7957,0.12,0.5125,2.8337,0.2874,-0.4919,2,3,4,3,3,TWN
43,0.6381,-0.0379,-1.0365,1.1565,0.6366,-0.5638,-1.3649,0.3335,0.4765,2.6536,0.3416,-0.3903,2,4,5,4,4,TWN
44,0.53,0.0631,-0.0231,1.4839,0.699,-0.5551,-0.4978,0.7082,-0.3778,-0.382,-1.0588,-0.7619,1,3,3,4,3,TWN
45,4.4548,-0.9716,0.2499,4.0637,1.1431,-0.4611,-4.5835,0.632,-0.5587,5.9591,0.7469,-0.3381,1,1,3,4,2,TWN
46,-3.0262,1.0951,0.497,-2.6167,0.1092,0.5321,1.3795,-0.5991,-0.7345,-1.6666,0.5451,0.6827,1,3,4,2,3,TWN
47,-0.2229,-1.0988,-0.1774,-1.9968,0.2124,-0.247,-3.581,-1.0835,-0.3512,0.287,0.0789,0.2052,2,3,5,8,8,TWN
48,-3.2556,0.8631,-0.2124,-1.9775,-0.6051,0.6548,1.1533,-0.2526,-1.2347,0.3054,1.1526,1.4506,1,1,5,2,3,TWN
49,-1.1065,0.1747,0.0195,0.525,-0.0495,-0.632,0.4268,0.1547,0.2318,2.023,0.8804,0.8783,2,1,3,3,4,TWN
50,3.3072,0.1009,-0.1872,-0.3824,-0.5062,0.4935,-3.1295,0.6714,1.6638,0.3555,-0.3721,-0.262,1,3,2,8,8,TWN
51,-4.0251,0.6724,-0.0451,-2.2977,0.1586,-0.1472,3.4239,0.1792,0.2008,0.6487,1.3228,-0.1396,2,5,3,3,6,TWN
52,0.2549,-0.167,-0.6375,0.5899,0.274,-0.1788,-0.627,0.7772,0.3949,1.9943,0.5335,0.0891,1,5,3,4,4,TWN
53,1.5138,-0.4642,0.125,0.8494,-0.5841,-0.5428,0.4758,1.5345,1.8291,2.343,-0.7148,0.9287,1,4,3,3,3,TWN
54,2.0108,-0.4454,-0.9039,-2.3115,0.2977,-0.6988,-2.5602,1.357,-0.5438,1.0074,0.2855,0.1277,1,2,3,2,2,TWN
55,3.8009,-1.2737,-0.3984,4.9759,0.3959,0.6017,-3.6784,1.4797,1.6513,3.9308,0.0959,-0.155,1,1,3,8,8,TWN
56,4.4548,-0.9716,0.2499,2.5129,-2.0873,0.9191,-2.1879,1.8201,-3.1124,4.5526,0.4616,-1.571,1,1,5,1,8,TWN
57,3.6636,0.2794,0.2866,0.5658,0.5416,-0.8788,2.1405,0.6104,-0.1611,5.3372,1.03,0.7294,2,2,4,4,2,TWN
58,3.7981,1.0895,-0.253,4.0005,0.6874,-0.1357,-1.967,0.8509,-1.5429,2.6584,1.0064,0.3329,1,5,5,3,1,TWN
59,0.0444,0.4956,-0.3611,1.5055,-0.5206,0.2861,0.4268,0.1547,0.2318,1.9653,0.0443,-0.2791,1,1,2,1,1,TWN
60,0.1358,0.395,-1.0513,0.8518,-0.0065,-0.3622,-2.4409,-0.4671,-1.0338,-0.375,-1.6081,0.2066,1,3,4,2,3,TWN
61,-1.1065,0.1747,0.0195,-0.7425,-0.7136,0.9365,-0.6213,-0.9576,0.6389,0.6795,1.147,0.037,2,2,5,3,3,TWN
62,1.3921,0.0395,-0.0416,3.3649,2.2617,0.9238,-1.8338,1.2197,0.3468,3.344,-0.5752,-0.2563,2,2,2,3,3,TWN
63,-0.137,-0.1989,-0.5655,1.1597,-0.245,-0.7161,-2.2397,-0.0747,1.0405,-0.1059,0.3549,0.2236,2,3,4,3,3,TWN
64,3.1013,-1.4771,-0.4516,-0.432,-1.1091,0.4741,-2.7584,1.7732,-0.2629,2.6105,0.901,1.0194,1,1,4,3,3,TWN
65,0.0576,0.4556,-0.467,-1.3612,0.4334,-0.8047,-2.0576,-0.2248,-0.7921,0.3191,-0.0118,0.2389,1,2,3,3,3,TWN
66,3.7878,-1.2337,-0.2925,1.1813,0.2763,1.0147,-0.5794,0.7485,0.1172,-0.0205,0.2914,0.7943,2,1,3,3,3,TWN
67,1.1574,-0.5459,0.1514,-0.1191,0.4163,0.2191,0.9914,-0.1057,-0.0067,0.5979,-0.0626,-0.3286,2,2,5,8,8,TWN
68,4.2417,-0.3673,0.7734,1.1639,-0.0065,-0.1108,-0.6216,-0.9568,0.6124,1.0144,0.0459,0.4666,2,3,5,3,8,TWN
69,-1.7255,0.7358,-0.5188,-1.3451,0.4975,0.2494,2.2424,-0.1453,-1.6642,-2.0281,-0.6063,0.567,2,5,3,3,3,TWN
70,2.1245,-1.0728,0.6228,5.0134,0.4746,-0.3873,-1.4479,-0.3693,-1.1193,2.6584,1.0064,0.3329,2,2,5,3,8,TWN
71,-1.6404,0.6476,0.5238,-2.6365,0.8499,0.4743,-1.6666,0.0509,-0.2602,-0.2892,1.3716,0.9707,1,1,3,2,2,TWN
